Data;ABEV3;BBAS3;BBDC4;BBSE3;BRFS3;BRML3;BVMF3;CCRO3;CIEL3;CMIG4;EQTL3;FIBR3;GGBR4;GOAU4;HYPE3;ITUB4;JBSS3;KROT3;LAME4;LREN3;PETR4;RADL3;UGPA3;USIM5;VIVT4;IBOV;CDI 252 dias;SMB;HML;WML;Rm_minus_Rf
20/02/2014;14.39144301;16.1347835;15.29423674;18.73163201;38.80015918;10.90083799;8.108910557;13.11261248;16.7724614;8.479301703;18.76091859;23.25986907;14.45844028;18.24292097;13.51012471;19.03342803;7.133161602;9.140269509;9.121577046;9.293787333;13.31228116;13.65965689;47.08443534;10.4234404;33.22771747;47288;10.29;-0.1894059;0.8708621;0.0513015;0.1430719
21/02/2014;14.4349743;15.96120637;15.61489464;18.7475874;38.23976521;10.94499648;8.23735159;12.80160821;16.79846522;8.472738776;18.85379443;23.03664576;14.00602494;17.64307544;13.51906589;19.05793985;6.993295688;9.315784286;9.251421559;9.698598397;13.30287983;14.28055038;47.71826427;10.17898823;33.38371615;47380;10.29;1.122481;-0.2387949;-0.6604181;0.068573
24/02/2014;14.45238681;15.55882301;15.79812773;18.58005577;38.11628857;10.97653825;8.305853475;12.98652967;16.91028163;8.643374878;18.94667026;22.84913818;14.41131368;18.13818603;13.36706581;19.16211508;7.067890842;9.788324068;9.257913784;9.614262758;13.63192633;15.13069686;47.68204548;9.963870323;33.38371615;47393;10.29;1.0807212;-0.2629851;-0.714218;5.97E-04
25/02/2014;14.45238681;15.6140521;15.43166155;18.7475874;38.04980115;10.83775444;8.245914326;13.07058488;16.68144804;8.453049995;18.84450685;22.34018903;14.17568069;17.82398124;13.25977164;19.03342803;6.881402957;9.630810808;9.192991528;9.558601237;13.33108382;15.24532335;47.00294304;9.778086676;32.93131999;46715;10.29;0.2293883;-1.2683068;0.1191712;-1.1283927
26/02/2014;14.60909944;15.38524588;15.31714087;18.70769892;38.04030294;10.95130483;8.134598764;13.51607748;16.66844614;8.479301703;18.61231726;22.67055953;13.97774898;17.5192978;13.36706581;18.95989257;6.816132197;9.720818385;9.394250523;9.744139641;12.86101739;15.61785945;47.62771728;9.729196243;33.9297115;46599;10.35;-0.6067799;-1.3224176;0.3788926;-0.2434596
27/02/2014;14.70486827;16.00854559;15.70651118;18.78747588;38.8476502;11.53798188;8.62267469;13.95316456;16.81146712;8.735255857;18.61231726;22.46519408;13.95889834;17.42408422;13.51906589;19.26016236;7.133161602;9.810825963;9.504618359;9.909437492;13.19946522;15.94263451;48.64654107;9.895423716;34.13250978;47606;10.59;0.0704218;1.4663274;-0.9501916;1.6310383
28/02/2014;14.69616201;16.33203024;15.63779878;18.58803346;40.7662872;11.32980615;8.62267469;13.51607748;16.51242324;8.814010981;18.41727801;22.14375251;13.61016152;17.05275128;12.9915362;19.13760326;6.993295688;9.833327857;9.394250523;9.732332652;12.77640543;15.78979919;47.86636069;9.553190683;33.52411495;47094;10.59;0.4504011;-0.5660472;0.4561749;-0.8839319
05/03/2014;14.62651195;16.33203024;15.46029172;18.69174352;42.45696733;11.3928897;8.562735541;13.64216029;16.8426717;8.827136835;18.15722567;21.87588454;13.59131088;16.90993092;12.87530085;18.84025463;7.002620082;10.02684415;9.329328266;9.742452929;12.49436558;15.76114256;47.38907387;9.377185123;34.05451044;46589;10.55;-0.4533901;-1.6619345;0.6988855;-0.7436383
06/03/2014;14.68745575;15.97698611;16.04519631;18.76354279;42.02954819;11.65153227;8.733990252;14.20533019;17.055903;8.85995147;18.20366359;22.18839717;13.67655255;16.79515763;12.98259502;19.3613811;7.15181039;9.795074637;9.4137272;9.835222131;12.62598418;15.76114256;47.95814662;9.416297469;34.46790693;47093;10.55;-0.8677011;-0.2089924;0.0563208;0.9072922
07/03/2014;14.59168692;15.68506093;15.83890093;18.5082565;41.56413625;11.51274846;8.793929401;13.66737685;17.05850338;8.577745608;17.64640858;22.26875757;13.20298771;16.42214445;13.36706581;18.97513442;6.937349323;9.563305124;9.26440601;9.757633343;12.52256957;15.84711243;47.7286818;8.888280789;34.94370288;46244;10.55;0.1285307;-1.4425014;0.2380298;-1.4410787
